Time_Stamp,Open,High,Low,Close,Volume,TR0,TR1,TR2,TR,ATR,Upper_Bound,Lower_Bound,Final_Upper_Bound,Final_Lower_Bound,Super_Trend,Buy_Sell
6/11/2021 13:20,151.3,151.39,151.27,151.3,31158,0.12,0.04,0.08,0.12,0.103984647,151.64,151.02,151.38,151.08,151.38,SELL
6/11/2021 13:15,151.48,151.48,151.29,151.29,19299,0.19,0.18,0.01,0.19,0.110128601,151.72,151.05,151.38,151.08,151.38,SELL
6/11/2021 13:10,151.39,151.47,151.3865,151.47,19461,0.0835,0.18,0.0965,0.18,0.115119415,151.77,151.08,151.38,151.08,151.08,BUY
6/11/2021 13:05,151.37,151.48,151.335,151.39,20460,0.145,0.01,0.135,0.14,0.1168966,151.76,151.06,151.76,151.08,151.08,BUY
6/11/2021 13:00,151.35,151.5,151.31,151.37,48324,0.19,0.11,0.08,0.19,0.122118271,151.77,151.04,151.76,151.08,151.08,BUY
6/11/2021 12:55,151.28,151.43,151.28,151.36,38056,0.15,0.06,0.09,0.15,0.124109823,151.73,150.98,151.73,151.08,151.08,BUY
6/11/2021 12:50,151.25,151.41,151.2431,151.26,25434,0.1669,0.05,0.1169,0.17,0.127387693,151.71,150.94,151.71,151.08,151.08,BUY
6/11/2021 12:45,151.19,151.27,151.17,151.24,22409,0.1,0.01,0.09,0.1,0.125431429,151.6,150.84,151.6,151.08,151.08,BUY
6/11/2021 12:40,151.29,151.29,151.16,151.2,21041,0.13,0.05,0.08,0.13,0.125757756,151.6,150.85,151.6,151.08,151.08,BUY
6/11/2021 12:35,151.27,151.32,151.25,151.29,22945,0.07,0.12,0.05,0.12,0.125346488,151.66,150.91,151.6,151.08,151.08,BUY
6/11/2021 12:30,151.18,151.2637,151.145,151.2637,21259,0.1187,0.0263,0.145,0.14,0.126393167,151.58,150.83,151.58,151.08,151.08,BUY
6/11/2021 12:25,151.15,151.235,151.11,151.18,39504,0.125,0.0287,0.1537,0.15,0.128079369,151.56,150.79,151.56,151.08,151.08,BUY
6/11/2021 12:20,151.11,151.19,151.03,151.15,36341,0.16,0.01,0.15,0.16,0.130359414,151.5,150.72,151.5,151.08,151.08,BUY
6/11/2021 12:15,151.2,151.2,151.09,151.105,18123,0.11,0.05,0.06,0.11,0.128905171,151.53,150.76,151.5,151.08,151.08,BUY
6/11/2021 12:10,151.34,151.37,151.17,151.1784,24538,0.2,0.265,0.065,0.27,0.138983373,151.69,150.85,151.5,151.08,151.08,BUY
6/11/2021 12:05,151.37,151.42,151.28,151.33,27304,0.14,0.2416,0.1016,0.24,0.146198846,151.79,150.91,151.5,151.08,151.08,BUY
6/11/2021 12:00,151.38,151.39,151.295,151.37,29392,0.095,0.06,0.035,0.09,0.142184643,151.77,150.92,151.5,151.08,151.08,BUY
6/11/2021 11:55,151.39,151.46,151.34,151.3862,26943,0.12,0.09,0.03,0.12,0.140600025,151.82,150.98,151.5,151.08,151.08,BUY
6/11/2021 11:50,151.38,151.53,151.37,151.3761,22675,0.16,0.1438,0.0162,0.16,0.141985738,151.88,151.02,151.5,151.08,151.08,BUY
6/11/2021 11:45,151.49,151.5347,151.31,151.36,35512,0.2247,0.1586,0.0661,0.22,0.147558185,151.87,150.98,151.5,151.08,151.08,BUY
6/11/2021 11:40,151.53,151.58,151.47,151.49,26972,0.11,0.22,0.11,0.22,0.152732601,151.98,151.07,151.5,151.08,151.08,BUY
6/11/2021 11:35,151.32,151.55,151.32,151.5166,37687,0.23,0.06,0.17,0.23,0.1582517,151.91,150.96,151.5,151.08,151.08,BUY
